Rank,Country,Region,HCI,Infra,Professional,Cost,MedAvail,GovtReady
1,Taiwan,Asia,78.72,87.16,14.23,83.59,82.3,87.89
2,South Korea,Asia,77.7,79.05,13.06,78.39,78.99,65.09
3,Japan,Asia,74.11,90.75,30.01,82.59,92.06,96.3
4,Austria,Europe,71.32,86.18,20.25,78.99,88.23,91.8
5,Denmark,Europe,70.73,78.77,21.6,74.88,74.18,93.2
6,Thailand,Asia,67.99,92.58,17.37,96.22,67.51,89.91
7,Spain,Europe,65.38,77.86,13.24,71.82,55.1,81.38
8,France,Europe,64.66,86.28,34.25,75.81,83.82,96.8
9,Belgium,Europe,64.63,72.48,24.51,68.68,64.78,94.9
10,Australia,Europe,61.73,88.63,14.66,75.61,90.25,88.41
11,Netherlands,Europe,60.16,79.09,13.56,69.93,67.29,85.03
12,Finland,Europe,59.6,77.76,13.41,68.97,59.65,84.59
13,United Kingdom,Europe,59.52,98.7,29.05,94.99,98.74,96.1
14,Czech Republic,Europe,57.96,76.39,14.96,67.47,71.33,88.86
15,Norway,Europe,56.71,79.73,21.24,68.59,75.73,92.6
16,New Zealand,Europe,54.86,86.58,16.55,71.23,73.86,89.51
17,Germany,Europe,52.3,78.93,13.6,66.04,60.94,85.68
18,Switzerland,Europe,52.25,77.77,16.4,65.42,69.68,89.49
19,India,Asia,52.1,74.2,17.84,63.51,97.84,89.98
20,United Arab Emirates,Asia,51.99,68.21,14.95,60.36,55.08,88.74
21,Israel,Asia,50.15,73.53,13.84,62.22,74.19,87.72
22,Portugal,Europe,49.58,98.3,14.25,75.25,83.54,87.95
23,Canada,Europe,48.64,62.39,16.89,55.73,52.91,89.75
24,Singapore,Asia,48.54,82.67,13.35,66.15,81.98,81.63
25,Ecuador,America,48.27,69.37,45.24,59.16,66.11,98.2
26,Greece,Europe,48.13,96.87,19.39,86.79,98.21,91.2
27,Argentina,America,47.15,78.03,20.31,63.08,75.19,92.1
28,Sweden,Europe,46.24,70.06,25.05,58.53,62.6,95.1
29,Mexico,America,45.84,75.2,21.56,60.99,66.54,92.7
30,United States,America,45.62,84.18,13.1,65.52,76.28,76.21
31,Lithuania,Europe,45.3,83.43,14.65,64.98,85.77,88.38
32,Estonia,Europe,45.3,71.12,42.86,58.62,64.48,97.8
33,Qatar,ME,45.29,67.54,51.28,56.77,60.69,98.5
34,Malaysia,Asia,45.1,64.17,15.05,54.94,52.11,88.89
35,Colombia,America,44.72,78.39,19.88,62.1,74.03,91.7
36,Hong Kong,Asia,44.55,98.1,14.71,66.02,64.34,88.47
37,Italy,Europe,44.43,83.38,23.66,87.03,98.43,94.3
38,Philippines,Asia,43.06,85.38,13.2,64.9,72.19,80.68
39,Uruguay,America,42.99,64.37,41.72,54.02,55.79,97.5
40,Sri Lanka,Asia,42.92,71.54,16.25,57.69,53.28,89.48
41,Iceland,Europe,42.5,65.97,13.64,54.61,47.94,85.9
42,Croatia,Europe,42.31,88.12,14.15,72.84,91.25,87.87
43,Jordan,ME,41.99,76.84,25.14,59.97,74.42,95.4
44,Chile,America,41.97,74.88,19.47,58.95,69.12,91.5
45,Lebanon,ME,41.63,71.55,16.67,57.07,65.42,89.54
46,China,Asia,41.4,69.67,15.42,55.99,65.36,89.31
47,Slovenia,Europe,39.85,89.83,14.41,65.29,87.57,87.98
48,Latvia,Europe,39.65,75.65,13.89,58.23,65.85,87.81
49,Hungary,Europe,39.37,73.88,14.71,57.18,74.7,88.48
50,Costa Rica,America,39.03,68.39,18.75,54.18,65.81,90.86
51,Poland,Europe,39.02,67.54,13.18,53.73,47.83,78.63
52,Indonesia,Asia,38.95,76.14,13.81,58.14,62.74,87.58
53,South Africa,Africa,38.65,91.58,20.88,65.96,94.29,92.3
54,Slovakia,Europe,38.48,72.36,21.82,55.97,67.42,93.5
55,Saudi Arabia,ME,38.43,66.73,13.73,53.04,50.02,86.72
56,Panama,America,38.13,90.55,31.24,79.67,97.21,96.6
57,Belarus,Europe,37.94,70.93,17.12,54.96,64.1,89.78
58,Russia,Europe,37.76,64.76,21.83,51.7,57.85,93.8
59,Tunisia,Africa,37.71,74.99,13,56.95,63.39,62.18
60,Macedonia,Europe,37.16,70.83,18.39,54.54,73.01,90.84
61,Nepal,Asia,37.08,71.76,14.07,54.98,73.65,87.85
62,Peru,America,36.74,74.26,47.16,56.1,80.07,98.4
63,Brazil,America,36.31,69.21,14.77,53.29,52.97,88.62
64,Puerto Rico,America,36.26,64.57,24.43,50.87,59.31,94.6
65,Turkey,ME,35.96,97.4,14.43,68.59,92.72,88.32
66,Vietnam,Asia,35.85,45.46,12.81,40.81,43.32,60.14
67,Bulgaria,Europe,35.64,77.18,17.35,57.08,72.25,89.84
68,Algeria,Africa,35.61,72.04,19.72,54.41,71.68,91.6
69,Romania,Europe,35.32,75.31,14.86,55.96,64.15,88.65
70,Kenya,Africa,35.16,69.92,16.86,53.1,51.23,89.62
71,Kuwait,ME,35.09,89.14,15.32,70.55,89.2,88.98
72,Dominican Republic,America,34.97,66.12,21.08,51.05,62.85,92.5
73,Nigeria,Africa,34.78,96.34,16,66.82,82.83,89.38
74,Albania,Europe,34.78,67.9,36.44,51.87,63.47,97.2
75,Bosnia And Herzegovina,Europe,34.63,70.82,12.91,53.3,59.3,60.88
76,Cyprus,Europe,34.61,72.31,13.46,54.06,58.37,85.01
77,Serbia,Europe,34.37,69.88,16.19,52.7,66.16,89.42
78,Iran,ME,34.28,73.69,14.92,54.62,59.64,88.71
79,Georgia,Europe,33.84,70.73,22.76,52.88,64.43,93.9
80,Ireland,Europe,33.65,75.32,13.87,55.16,58.24,87.74
81,Ukraine,Europe,33.38,68.87,14.33,51.69,53.55,87.97
82,Kazakhstan,Asia,33.22,49.97,12.8,41.87,52.56,59.08
83,Morocco,ME,33.01,67.36,15.17,50.73,63.2,88.91
84,Egypt,ME,32.94,69.5,28.16,51.81,62.68,95.7
85,Bangladesh,Asia,32.89,70.58,22.84,52.34,68.18,94.2
86,Azerbaijan,Asia,32.88,77.8,13.76,56.06,59.35,87.38
87,Iraq,ME,32.55,73.74,14.59,53.81,57.45,88.36
88,Pakistan,Asia,32.52,73.36,18.25,53.59,58.14,90.81
89,Venezuela,America,32.42,71.39,17.16,52.53,53.7,89.84
